name,link,min_salary,max_salary,currency
Data Scientist (команда Поиска),https://lipetsk.hh.ru/vacancy/83116089?from=vacancy_search_list&query=python,350000,None,₽
Преподаватель по Python разработке в ИТ-школу,https://lipetsk.hh.ru/vacancy/84152777?from=vacancy_search_list&query=python,None,None,None
Программист Python (Junior),https://lipetsk.hh.ru/vacancy/84287412?from=vacancy_search_list&query=python,30000,None,₽
Стажер / Младший программист (Backend / Python),https://lipetsk.hh.ru/vacancy/84128553?from=vacancy_search_list&query=python,None,None,None
Стажер-программист Python,https://lipetsk.hh.ru/vacancy/84282045?from=vacancy_search_list&query=python,20000,30000,₽
"Разработчик Python в IT-компанию, удаленно",https://lipetsk.hh.ru/vacancy/84077735?from=vacancy_search_list&query=python,25000,50000,₽
Junior Программист/Разработчик Python,https://lipetsk.hh.ru/vacancy/84278383?from=vacancy_search_list&query=python,60000,None,₽
Python разработчик,https://lipetsk.hh.ru/vacancy/84131865?from=vacancy_search_list&query=python,100000,200000,₽
Программист Python,https://lipetsk.hh.ru/vacancy/83684261?from=vacancy_search_list&query=python,200000,None,₽
Python-разработчик,https://lipetsk.hh.ru/vacancy/83921162?from=vacancy_search_list&query=python,450000,None,₽
Python-разработчик,https://lipetsk.hh.ru/vacancy/82888245?from=vacancy_search_list&query=python,420000,None,₽
Разработчик Python,https://lipetsk.hh.ru/vacancy/83332307?from=vacancy_search_list&query=python,160000,180000,₽
Программист Python,https://lipetsk.hh.ru/vacancy/83907794?from=vacancy_search_list&query=python,80000,120000,₽
Python developer (AI),https://lipetsk.hh.ru/vacancy/84318641?from=vacancy_search_list&query=python,5500,7500,$
Разработчик Python,https://lipetsk.hh.ru/vacancy/80736556?from=vacancy_search_list&query=python,30000,80000,₽
Python / django разработчик,https://lipetsk.hh.ru/vacancy/83817542?from=vacancy_search_list&query=python,70000,None,₽
Python разработчик (удалённо),https://lipetsk.hh.ru/vacancy/84220133?from=vacancy_search_list&query=python,150000,200000,₽
Программист Python,https://lipetsk.hh.ru/vacancy/83439263?from=vacancy_search_list&query=python,150000,250000,₽
Программист Python,https://lipetsk.hh.ru/vacancy/82795669?from=vacancy_search_list&query=python,60000,None,₽
Программист Python,https://lipetsk.hh.ru/vacancy/84001239?from=vacancy_search_list&query=python,300000,None,₽
Python/PostgreSQL разработчик,https://lipetsk.hh.ru/vacancy/83336118?from=vacancy_search_list&query=python,200000,300000,₽
Программист Python,https://lipetsk.hh.ru/vacancy/84174184?from=vacancy_search_list&query=python,150000,None,₽
Trainee Python Developer,https://lipetsk.hh.ru/vacancy/82034889?from=vacancy_search_list&query=python,None,None,None
Data Engineer,https://lipetsk.hh.ru/vacancy/83685456?from=vacancy_search_list&query=python,230000,300000,₽
Программист Python для ИТ компании,https://lipetsk.hh.ru/vacancy/84095672?from=vacancy_search_list&query=python,75000,120000,₽
Стажер/Reinforcement Learning Engineer,https://lipetsk.hh.ru/vacancy/84251420?from=vacancy_search_list&query=python,None,None,None
Python Developer,https://lipetsk.hh.ru/vacancy/84179795?from=vacancy_search_list&query=python,None,None,None
Python-разработчик в R&D отдел,https://lipetsk.hh.ru/vacancy/72687478?from=vacancy_search_list&query=python,100000,150000,₽
Python Developer,https://lipetsk.hh.ru/vacancy/83359221?from=vacancy_search_list&query=python,150000,None,₽
Middle/Senior Python developer,https://lipetsk.hh.ru/vacancy/83808487?from=vacancy_search_list&query=python,200000,350000,₽
Программист Python (Ялта),https://lipetsk.hh.ru/vacancy/84326754?from=vacancy_search_list&query=python,None,None,None
Программист Python,https://lipetsk.hh.ru/vacancy/84062980?from=vacancy_search_list&query=python,None,None,None
Стажер Python developer (СКИИС),https://lipetsk.hh.ru/vacancy/84062871?from=vacancy_search_list&query=python,None,None,None
Middle Python Developer,https://lipetsk.hh.ru/vacancy/83756794?from=vacancy_search_list&query=python,150000,None,₽
Python-разработчик (Django),https://lipetsk.hh.ru/vacancy/84046952?from=vacancy_search_list&query=python,230000,None,₽
Python-разработчик систем сбора,https://lipetsk.hh.ru/vacancy/72687495?from=vacancy_search_list&query=python,100000,150000,₽
Python-developer,https://lipetsk.hh.ru/vacancy/84124439?from=vacancy_search_list&query=python,150000,200000,₽
Ведущий Python разработчик,https://lipetsk.hh.ru/vacancy/84271869?from=vacancy_search_list&query=python,200000,250000,₽
Python developer,https://lipetsk.hh.ru/vacancy/75486835?from=vacancy_search_list&query=python,150000,200000,₽
Разработчик Python (Flask/PostgreSQL/Redis),https://lipetsk.hh.ru/vacancy/82138937?from=vacancy_search_list&query=python,350000,None,₽
Ведущий Python-developer,https://lipetsk.hh.ru/vacancy/84147255?from=vacancy_search_list&query=python,240000,300000,₽
Data Scientist / ML Engineer (Middle+),https://lipetsk.hh.ru/vacancy/81489621?from=vacancy_search_list&query=python,180000,260000,₽
Преподаватель Python,https://lipetsk.hh.ru/vacancy/84139392?from=vacancy_search_list&query=python,None,None,None
Программист Python,https://lipetsk.hh.ru/vacancy/83532503?from=vacancy_search_list&query=python,130000,None,₽
Стажер-разработчик Python,https://lipetsk.hh.ru/vacancy/83811980?from=vacancy_search_list&query=python,None,None,None
Senior Python developer (Django),https://lipetsk.hh.ru/vacancy/83962887?from=vacancy_search_list&query=python,5200,None,$
Middle Python Developer,https://lipetsk.hh.ru/vacancy/83188462?from=vacancy_search_list&query=python,None,None,None
Senior Backend Developer (Python),https://lipetsk.hh.ru/vacancy/83963752?from=vacancy_search_list&query=python,3500,None,€
Разработчик Python,https://lipetsk.hh.ru/vacancy/84078073?from=vacancy_search_list&query=python,150000,None,₽
Middle/Senior Python-разработчик (удаленно),https://lipetsk.hh.ru/vacancy/83645238?from=vacancy_search_list&query=python,280000,None,₽
Программист Python,https://lipetsk.hh.ru/vacancy/80217484?from=vacancy_search_list&query=python,150000,200000,₽
Middle python developer,https://lipetsk.hh.ru/vacancy/83207801?from=vacancy_search_list&query=python,150000,None,₽
Программист Python (Junior +),https://lipetsk.hh.ru/vacancy/83633647?from=vacancy_search_list&query=python,200000,None,₽
Python разработчик,https://lipetsk.hh.ru/vacancy/82274031?from=vacancy_search_list&query=python,None,None,None
Junior Data Scientist (Стажер),https://lipetsk.hh.ru/vacancy/83678534?from=vacancy_search_list&query=python,None,None,None
Team Lead Python,https://lipetsk.hh.ru/vacancy/82994719?from=vacancy_search_list&query=python,6000,None,$
Python Backend разработчик,https://lipetsk.hh.ru/vacancy/81930964?from=vacancy_search_list&query=python,None,None,None
Python Developer,https://lipetsk.hh.ru/vacancy/78687532?from=vacancy_search_list&query=python,None,None,None
